Date,Open,High,Low,Close,Volume
2023-07-03,44957.94921875,45353.19921875,44882.1015625,45158.1015625,228200
2023-07-04,45310.55078125,45655.5,45000.25,45301.44921875,463000
2023-07-05,45169.69921875,45418.8984375,45073.3984375,45151.80078125,366300
2023-07-06,45060.55078125,45417.5,45042.6015625,45339.8984375,244900
2023-07-07,45118.05078125,45227.25,44844.80078125,44925.0,220900
2023-07-10,44958.6484375,45184.30078125,44721.8984375,44860.8515625,220900
2023-07-11,44998.0,45139.55078125,44663.05078125,44745.05078125,209000
2023-07-12,44872.6015625,44937.25,44562.3984375,44639.44921875,233100
2023-07-13,45009.30078125,45085.1484375,44612.19921875,44665.05078125,336800
2023-07-14,44860.6484375,44923.8515625,44547.80078125,44819.30078125,196300
2023-07-17,44951.19921875,45556.44921875,44695.05078125,45449.75,245900
2023-07-18,45754.80078125,45905.8515625,45281.30078125,45410.8515625,307300
2023-07-19,45622.5,45707.3984375,45433.0,45669.30078125,261100
2023-07-20,45689.05078125,46256.19921875,45640.94921875,46186.8984375,315200
2023-07-21,46063.94921875,46369.5,45925.8984375,46075.19921875,235600
2023-07-24,46131.8984375,46191.5,45858.75,45923.05078125,225800
2023-07-25,46154.69921875,46156.1015625,45622.8515625,45845.0,228100
2023-07-26,45935.1484375,46096.6015625,45804.69921875,46062.3515625,298400
2023-07-27,46285.8515625,46310.1015625,45570.6484375,45679.30078125,320400
2023-07-28,45560.8984375,45727.75,45238.80078125,45468.1015625,194700
2023-07-31,45546.3515625,45694.8984375,45359.75,45651.1015625,247900
2023-08-01,45740.0,45782.75,45471.05078125,45592.5,175200
2023-08-02,45234.6484375,45404.8984375,44720.8984375,44995.69921875,233600
2023-08-03,44862.8515625,45038.44921875,44279.3984375,44513.44921875,245800
2023-08-04,44754.75,45118.05078125,44520.55078125,44879.5,245200
2023-08-07,44993.69921875,45011.3515625,44773.8515625,44837.5,200800
2023-08-08,44888.94921875,45096.8515625,44817.8515625,44964.44921875,229400
2023-08-09,44973.44921875,44975.0,44533.75,44880.69921875,177300
2023-08-10,44797.6484375,44980.3515625,44418.3984375,44541.80078125,232000
2023-08-11,44568.1484375,44571.25,44120.8984375,44199.1015625,196900
2023-08-14,44066.6015625,44212.75,43776.8984375,44090.94921875,172300
2023-08-16,43726.25,44002.80078125,43600.3515625,43946.3984375,0
2023-08-17,43897.25,44071.8515625,43745.1015625,43891.3515625,266400
2023-08-18,43724.75,43957.6484375,43672.44921875,43851.05078125,167600
2023-08-21,43952.8515625,44113.80078125,43862.0,44002.0,126300
2023-08-22,44125.0,44151.30078125,43938.69921875,43993.25,160700
2023-08-23,44064.5,44521.6484375,43952.05078125,44479.05078125,212400
2023-08-24,44704.19921875,44949.8984375,44433.75,44496.19921875,220400
2023-08-25,44276.19921875,44359.1015625,43983.75,44231.44921875,152500
2023-08-28,44253.6484375,44610.3984375,44201.44921875,44494.6484375,163000
2023-08-29,44655.75,44673.0,44429.80078125,44495.25,140300
2023-08-30,44706.55078125,44779.6484375,44149.80078125,44232.6015625,153100
2023-08-31,44265.8515625,44399.6484375,43895.05078125,43989.1484375,705100
2023-09-01,43996.1015625,44568.55078125,43830.75,44436.1015625,320800
2023-09-04,44647.6484375,44656.05078125,44310.94921875,44578.30078125,0
2023-09-05,44625.05078125,44668.69921875,44401.69921875,44532.1484375,225500
2023-09-06,44494.6484375,44577.0,44207.25,44409.1015625,252000
2023-09-07,44418.05078125,44915.55078125,44341.19921875,44878.3515625,169100
2023-09-08,44953.6484375,45383.3515625,44812.1484375,45156.3984375,179100
2023-09-11,45340.80078125,45636.19921875,45231.30078125,45570.69921875,228100
2023-09-12,45893.80078125,45893.80078125,45322.55078125,45511.3515625,271400
2023-09-13,45449.3515625,45990.5,45299.3984375,45909.44921875,441700
2023-09-14,46013.30078125,46153.8984375,45801.5,46000.8515625,238600
2023-09-15,46122.1484375,46310.3984375,46028.75,46231.5,278400
2023-09-18,46100.94921875,46252.94921875,45906.8984375,45979.8515625,348800
2023-09-20,45493.69921875,45745.1484375,45276.3984375,45384.6015625,334000
2023-09-21,45179.6015625,45276.80078125,44592.44921875,44623.8515625,257700
2023-09-22,44707.3515625,44996.75,44548.8984375,44612.05078125,249400
2023-09-25,44615.0,44936.55078125,44400.8984375,44766.1015625,266500
2023-09-26,44722.5,44773.80078125,44532.44921875,44624.19921875,188500
2023-09-27,44465.8984375,44668.0,44182.5,44588.30078125,221900
2023-09-28,44700.3515625,44756.80078125,44248.19921875,44300.94921875,389900
